DEPARTAMENTO,PROVINCIA,DISTRITO,EDAD,SEXO,PRIMERA CARRERA,SEGUNDA CARRERA
CALLAO,CALLAO,VENTANILLA,25,Femenino,Administración,Secretariado Ejecutivo
CALLAO,CALLAO,BELLAVISTA,18,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,LIMA,19,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,31,Masculino,Mecánica Automotriz,Mecánica de Producción
LIMA,LIMA,SAN MIGUEL,30,Femenino,Diseño Publicitario,Diseño Gráfico
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,27,Masculino,Desarrollo de Sistemas de Información,Diseño Gráfico
LIMA,LIMA,SAN MIGUEL,18,Masculino,Desarrollo de Sistemas de Información,Mecánica Automotriz
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,20,Masculino,Contabilidad,Administración
LIMA,LIMA,VILLA MARIA DEL TRIUNFO,23,Femenino,Diseño Gráfico,Diseño Gráfico
LA LIBERTAD,CHEPEN,PACANGA,23,Masculino,Construcción Civil,Mecánica Automotriz
CALLAO,CALLAO,CALLAO,17,Masculino,Desarrollo de Sistemas de Información,Administración
CALLAO,CALLAO,CALLAO,32,Masculino,Administración,Diseño Gráfico
LIMA,LIMA,PUENTE PIEDRA,17,Masculino,Construcción Civil,Mecánica de Producción
CALLAO,CALLAO,CALLAO,21,Femenino,Contabilidad,Secretariado Ejecutivo
CALLAO,CALLAO,CALLAO,24,Masculino,Administración,Mecánica Automotriz
LIMA,LIMA,PUEBLO LIBRE,22,Femenino,Desarrollo de Sistemas de Información,Diseño Gráfico
CALLAO,CALLAO,CALLAO,17,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,19,Masculino,Administración,Contabilidad
TUMBES,TUMBES,TUMBES,18,Femenino,Diseño Gráfico,Secretariado Ejecutivo
LIMA,LIMA,SAN MIGUEL,19,Masculino,Desarrollo de Sistemas de Información,Mecánica de Producción
CALLAO,CALLAO,CALLAO,22,Masculino,Diseño Gráfico,Mecánica de Producción
CALLAO,CALLAO,LA PERLA,25,Femenino,Desarrollo de Sistemas de Información,Secretariado Ejecutivo
LIMA,LIMA,LIMA,19,Masculino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,LA PERLA,44,Masculino,Desarrollo de Sistemas de Información,Diseño Publicitario
PUNO,SAN ROMAN,JULIACA,23,Masculino,Contabilidad,Construcción Civil
CALLAO,CALLAO,CALLAO,44,Masculino,Construcción Civil,Mecánica de Producción
LIMA,LIMA,SAN MARTIN DE PORRES,26,Masculino,Diseño Gráfico,Mecánica de Producción
CALLAO,CALLAO,VENTANILLA,20,Femenino,Administración,Diseño Publicitario
CALLAO,CALLAO,CALLAO,19,Femenino,Administración,Contabilidad
CALLAO,CALLAO,CALLAO,18,Femenino,Diseño Gráfico,Secretariado Ejecutivo
CALLAO,CALLAO,VENTANILLA,17,Masculino,Administración,Secretariado Ejecutivo
LIMA,LIMA,SAN MARTIN DE PORRES,17,Masculino,Administración,Mecánica Automotriz
CALLAO,CALLAO,VENTANILLA,18,Femenino,Diseño Publicitario,Diseño Gráfico
LIMA,LIMA,LIMA,18,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,ATE,17,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN MARTIN DE PORRES,21,Femenino,Secretariado Ejecutivo,Diseño Gráfico
PASCO,PASCO,HUARIACA,39,Masculino,Desarrollo de Sistemas de Información,Administración
CALLAO,CALLAO,LA PERLA,18,Femenino,Desarrollo de Sistemas de Información,Secretariado Ejecutivo
CALLAO,CALLAO,BELLAVISTA,26,Femenino,Administración,Administración
LIMA,LIMA,SAN MARTIN DE PORRES,24,Masculino,Diseño Publicitario,Desarrollo de Sistemas de Información
CALLAO,CALLAO,VENTANILLA,20,Masculino,Desarrollo de Sistemas de Información,Mecánica de Producción
LIMA,LIMA,LIMA,19,Masculino,Diseño Publicitario,Diseño Gráfico
